--- FLL Scheduler GA Summary Report (ID: 1970572583616 | Hash: -7066501366808051550) ---

Objective Scores:
  - BreakTime        : 0.463697
  - TableConsistency : 0.021879
  - OpponentVariety  : 0.453345

Total            : 0.938922
Average          : 0.312974

Team fitnesses (sorted by total fitness descending):

Max     : 2.005459
Min     : 1.092262
Range   : 0.913197
Average : 1.655677

Team |BreakTime |TableConsistency |OpponentVariety |Sum
--------------------------------------------------------
18   |0.6333    |0.3721           |1.0000          |2.0055
36   |0.8797    |0.1231           |1.0000          |2.0028
8    |0.7971    |0.1231           |1.0000          |1.9202
9    |0.7701    |0.1231           |1.0000          |1.8932
20   |0.7420    |0.1231           |1.0000          |1.8651
19   |0.7366    |0.1231           |1.0000          |1.8597
6    |0.7123    |0.1231           |1.0000          |1.8354
38   |0.8014    |0.0000           |1.0000          |1.8014
15   |0.7699    |0.0305           |1.0000          |1.8004
41   |0.6765    |0.1231           |1.0000          |1.7996
35   |0.6711    |0.1231           |1.0000          |1.7942
40   |0.7624    |0.0305           |1.0000          |1.7929
10   |0.6673    |0.1231           |1.0000          |1.7904
7    |0.7530    |0.0305           |1.0000          |1.7836
31   |0.6480    |0.1231           |1.0000          |1.7710
39   |0.7390    |0.0305           |1.0000          |1.7695
5    |0.7529    |0.0000           |1.0000          |1.7529
42   |0.6268    |0.1231           |1.0000          |1.7499
16   |0.7420    |0.0000           |1.0000          |1.7420
37   |0.6962    |0.0305           |1.0000          |1.7268
11   |0.7147    |0.0000           |1.0000          |1.7147
29   |0.6803    |0.0305           |1.0000          |1.7108
13   |0.6740    |0.0305           |1.0000          |1.7045
30   |0.6945    |0.0000           |1.0000          |1.6945
14   |0.6626    |0.0305           |1.0000          |1.6932
32   |0.6688    |0.0000           |1.0000          |1.6688
17   |0.6307    |0.0305           |1.0000          |1.6613
25   |0.6214    |0.0305           |1.0000          |1.6520
28   |0.6191    |0.0305           |1.0000          |1.6496
3    |0.5893    |0.0305           |1.0000          |1.6198
12   |0.6163    |0.0000           |1.0000          |1.6163
24   |0.5802    |0.0305           |1.0000          |1.6108
21   |0.5721    |0.0305           |1.0000          |1.6026
22   |0.5542    |0.0305           |1.0000          |1.5847
4    |0.5837    |0.0000           |1.0000          |1.5837
23   |0.5741    |0.0000           |1.0000          |1.5741
33   |0.7705    |0.0305           |0.3778          |1.1788
34   |0.7276    |0.0305           |0.3778          |1.1360
2    |0.6317    |0.1231           |0.3778          |1.1326
26   |0.6056    |0.1231           |0.3778          |1.1066
27   |0.5933    |0.1231           |0.3778          |1.0942
1    |0.6839    |0.0305           |0.3778          |1.0923
