FLL Scheduler GA Summary Report (ID: 2466938564032 | Hash: 2466938564032)

Attributes:
--------------------
rank: -1
origin: CSV Importer
mutations: 0
clones: 0

Fitness:
--------------------------
BreakTime           : 0.702075
LocationConsistency : 0.319070
OpponentVariety     : 0.959066
-----------------------------------
Total               : 1.980210
Percentage          : 66.01%

Team fitnesses (sorted by total fitness descending):
----------------------------------------------------
Max     : 2.380025
Min     : 1.574058
Range   : 0.805966
Average : 1.935043

Team |BreakTime |LocationConsistency |OpponentVariety |Sum
-----------------------------------------------------------
18   |0.6333    |0.7467              |1.0000          |2.3800
36   |0.8797    |0.4956              |1.0000          |2.3753
8    |0.7971    |0.4956              |1.0000          |2.2927
9    |0.7701    |0.4956              |1.0000          |2.2657
20   |0.7420    |0.4956              |1.0000          |2.2376
19   |0.7366    |0.4956              |1.0000          |2.2322
6    |0.7123    |0.4956              |1.0000          |2.2079
41   |0.6765    |0.4956              |1.0000          |2.1721
35   |0.6711    |0.4956              |1.0000          |2.1667
10   |0.6673    |0.4956              |1.0000          |2.1629
31   |0.6480    |0.4956              |1.0000          |2.1436
42   |0.6268    |0.4956              |1.0000          |2.1224
15   |0.7699    |0.2467              |1.0000          |2.0166
40   |0.7624    |0.2467              |1.0000          |2.0091
7    |0.7530    |0.2467              |1.0000          |1.9997
39   |0.7390    |0.2467              |1.0000          |1.9857
37   |0.6962    |0.2467              |1.0000          |1.9429
29   |0.6803    |0.2467              |1.0000          |1.9270
13   |0.6740    |0.2467              |1.0000          |1.9207
14   |0.6626    |0.2467              |1.0000          |1.9093
2    |0.6317    |0.4956              |0.7533          |1.8806
17   |0.6307    |0.2467              |1.0000          |1.8774
25   |0.6214    |0.2467              |1.0000          |1.8681
28   |0.6191    |0.2467              |1.0000          |1.8658
26   |0.6056    |0.4956              |0.7533          |1.8545
27   |0.5933    |0.4956              |0.7533          |1.8421
3    |0.5893    |0.2467              |1.0000          |1.8360
24   |0.5802    |0.2467              |1.0000          |1.8269
21   |0.5721    |0.2467              |1.0000          |1.8188
38   |0.8014    |0.0000              |1.0000          |1.8014
22   |0.5542    |0.2467              |1.0000          |1.8009
33   |0.7705    |0.2467              |0.7533          |1.7705
5    |0.7529    |0.0000              |1.0000          |1.7529
16   |0.7420    |0.0000              |1.0000          |1.7420
34   |0.7276    |0.2467              |0.7533          |1.7276
11   |0.7147    |0.0000              |1.0000          |1.7147
30   |0.6945    |0.0000              |1.0000          |1.6945
1    |0.6839    |0.2467              |0.7533          |1.6839
32   |0.6688    |0.0000              |1.0000          |1.6688
12   |0.6163    |0.0000              |1.0000          |1.6163
4    |0.5837    |0.0000              |1.0000          |1.5837
23   |0.5741    |0.0000              |1.0000          |1.5741
