Judging,,,,,,,,
Time,Room 1,Room 2,Room 3,Room 4,Room 5,Room 6,Room 7
08:00,1,2,3,4,5,6,7
08:45,8,9,10,11,12,13,14
09:30,15,16,17,18,19,20,21
10:15,22,23,24,25,26,27,28
11:00,29,30,31,32,33,34,35
11:45,36,37,38,39,40,41,42
,,,,,,,
Practice,,,,,,,,
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,29,30,31,32,33,34,35,28
09:15,22,23,24,25,26,27,,
09:30,36,37,38,39,40,41,42,7
09:45,1,2,3,4,5,6,,
10:00,29,31,30,33,32,34,35,14
10:15,8,9,10,11,12,13,,
10:30,36,38,37,40,39,41,42,21
10:45,15,16,17,18,19,20,,
11:00,1,3,2,5,4,6,,
11:15,22,24,23,26,25,27,28,7
11:30,8,10,9,12,11,13,,
11:45,15,17,16,19,18,20,21,14
,,,,,,,,
Table,,,,,,,,
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
13:30,11,7,34,33,8,16,5,15
13:41,30,36,9,25,19,1,6,20
13:52,24,13,2,29,40,31,35,23
14:03,39,28,12,17,26,27,38,32
14:14,37,21,10,14,18,41,22,3
14:25,4,42,31,30,23,25,13,16
14:36,33,17,40,24,39,8,7,29
14:47,21,34,15,19,36,11,42,12
14:58,41,5,32,1,35,4,28,38
15:09,20,26,22,9,27,10,6,37
15:20,14,2,3,18,16,12,11,40
15:31,21,24,31,34,42,23,41,30
15:42,17,35,37,7,1,2,3,13
15:53,19,39,25,22,29,15,33,4
16:04,38,14,27,18,8,5,32,6
16:15,28,9,10,26,36,20,,

