--- FLL Scheduler GA Summary Report (ID: 2379456931008 | Hash: 4171091985064846469) ---

Objective Scores:
  - BreakTime        : 0.369664
  - TableConsistency : 0.017131
  - OpponentVariety  : 0.415679

Total            : 0.802473
Average          : 0.267491

Team fitnesses (sorted by total fitness descending):

Max     : 1.953736
Min     : 0.909574
Range   : 1.044162
Average : 1.535598

Team |BreakTime |TableConsistency |OpponentVariety |Sum
--------------------------------------------------------
44   |0.9231    |0.0306           |1.0000          |1.9537
42   |0.7585    |0.1233           |1.0000          |1.8818
48   |0.7562    |0.1233           |1.0000          |1.8795
47   |0.8334    |0.0306           |1.0000          |1.8640
43   |0.8002    |0.0000           |1.0000          |1.8002
5    |0.6465    |0.1233           |1.0000          |1.7698
41   |0.7619    |0.0000           |1.0000          |1.7619
9    |0.6260    |0.1233           |1.0000          |1.7493
31   |0.6178    |0.1233           |1.0000          |1.7411
3    |0.6899    |0.0306           |1.0000          |1.7205
6    |0.6899    |0.0306           |1.0000          |1.7205
16   |0.5860    |0.1233           |1.0000          |1.7093
15   |0.5733    |0.1233           |1.0000          |1.6966
34   |0.6960    |0.0000           |1.0000          |1.6960
38   |0.6642    |0.0306           |1.0000          |1.6949
8    |0.6558    |0.0306           |1.0000          |1.6864
40   |0.6556    |0.0306           |1.0000          |1.6863
39   |0.6448    |0.0306           |1.0000          |1.6754
30   |0.5396    |0.1233           |1.0000          |1.6629
14   |0.6224    |0.0306           |1.0000          |1.6530
4    |0.6156    |0.0306           |1.0000          |1.6462
35   |0.6141    |0.0306           |1.0000          |1.6447
29   |0.6358    |0.0000           |1.0000          |1.6358
7    |0.5954    |0.0306           |1.0000          |1.6260
33   |0.6251    |0.0000           |1.0000          |1.6251
11   |0.5922    |0.0306           |1.0000          |1.6228
13   |0.5898    |0.0306           |1.0000          |1.6204
25   |0.5713    |0.0306           |1.0000          |1.6019
22   |0.4626    |0.1233           |1.0000          |1.5859
12   |0.5530    |0.0306           |1.0000          |1.5836
32   |0.5780    |0.0000           |1.0000          |1.5780
23   |0.5427    |0.0306           |1.0000          |1.5733
10   |0.5701    |0.0000           |1.0000          |1.5701
26   |0.5152    |0.0306           |1.0000          |1.5459
17   |0.5105    |0.0306           |1.0000          |1.5411
24   |0.4908    |0.0306           |1.0000          |1.5215
21   |0.4876    |0.0306           |1.0000          |1.5182
20   |0.5014    |0.0000           |1.0000          |1.5014
45   |0.8497    |0.0000           |0.3775          |1.2273
46   |0.7525    |0.0000           |0.3775          |1.1300
27   |0.6186    |0.0306           |0.3775          |1.0267
2    |0.6087    |0.0306           |0.3775          |1.0168
36   |0.6312    |0.0000           |0.3775          |1.0087
37   |0.5957    |0.0306           |0.3775          |1.0039
28   |0.5893    |0.0000           |0.3775          |0.9668
1    |0.5767    |0.0000           |0.3775          |0.9543
19   |0.5115    |0.0306           |0.3775          |0.9196
18   |0.5014    |0.0306           |0.3775          |0.9096
