Judging,,,,,,,,,
Time,Room 1,Room 2,Room 3,Room 4,Room 5,Room 6,Room 7,Room 8,Room 9
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,25,26,27
10:30,28,29,30,31,32,33,34,35,36
11:15,37,38,39,40,41,42,43,44,45
12:00,46,47,48,49,50,51,52,,
,,,,,,,,,
Practice,,,,,,,,,
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2,
09:00,19,20,21,22,23,24,25,26,
09:11,27,28,29,30,31,32,33,34,
09:22,35,36,40,41,42,43,44,45,
09:33,1,2,3,4,5,37,38,39,
09:44,6,7,8,9,46,47,48,28,
09:55,29,32,31,30,33,36,35,34,
10:06,10,11,12,13,14,17,16,15,
10:17,18,1,49,2,50,51,52,46,
10:28,45,3,4,5,6,9,8,7,
10:39,37,38,39,40,41,42,43,44,
10:50,47,48,49,50,51,11,10,52,
11:01,12,15,14,13,16,17,18,19,
11:12,20,21,22,23,24,25,26,27,
,,,,,,,,,
Table,,,,,,,,,
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2,
14:00,11,27,49,37,46,17,30,51,
14:07,34,16,2,28,31,25,14,6,
14:15,38,47,4,23,32,7,36,10,
14:22,9,12,52,35,21,22,19,1,
14:30,20,24,5,45,39,8,29,44,
14:37,3,43,50,15,48,40,41,13,
14:45,26,18,33,42,31,32,37,36,
14:52,17,19,51,20,16,11,5,39,
15:00,28,46,25,45,47,14,43,52,
15:07,44,41,10,40,13,29,27,34,
15:15,33,4,30,49,12,7,21,2,
15:22,24,48,18,50,23,6,8,3,
15:30,42,38,26,9,15,22,1,35,
15:37,14,19,17,31,46,20,40,43,
15:45,4,51,48,34,41,50,23,16,
15:52,45,28,18,49,9,37,15,36,
16:00,12,39,25,32,35,33,6,10,
16:07,11,8,3,5,27,13,38,1,
16:15,52,26,44,21,22,47,7,2,
16:22,42,30,29,24,,,,,
