--- FLL Scheduler GA Summary Report (ID: 2384761213632 | Hash: -188860884548417190) ---

Objective Scores:
  - BreakTime        : 0.684986
  - TableConsistency : 0.385898
  - OpponentVariety  : 0.936762

Total            : 2.007646
Average          : 0.669215

Team fitnesses (sorted by total fitness descending):

Max     : 2.503893
Min     : 1.359640
Range   : 1.144252
Average : 1.825829

Team |BreakTime |TableConsistency |OpponentVariety |Sum
--------------------------------------------------------
49   |0.7585    |0.7454           |1.0000          |2.5039
46   |0.7221    |0.4939           |1.0000          |2.2159
38   |0.6575    |0.4939           |1.0000          |2.1514
25   |0.6240    |0.4939           |1.0000          |2.1179
45   |0.6186    |0.4939           |1.0000          |2.1125
47   |0.8411    |0.2454           |1.0000          |2.0866
11   |0.5870    |0.4939           |1.0000          |2.0809
17   |0.5815    |0.4939           |1.0000          |2.0754
23   |0.5763    |0.4939           |1.0000          |2.0702
34   |0.5658    |0.4939           |1.0000          |2.0597
52   |0.7196    |0.2454           |1.0000          |1.9651
37   |0.6928    |0.2454           |1.0000          |1.9383
48   |0.6791    |0.2454           |1.0000          |1.9245
44   |0.6392    |0.2454           |1.0000          |1.8846
50   |0.6262    |0.2454           |1.0000          |1.8716
30   |0.6244    |0.2454           |1.0000          |1.8699
42   |0.6153    |0.2454           |1.0000          |1.8607
39   |0.6019    |0.2454           |1.0000          |1.8474
41   |0.5796    |0.2454           |1.0000          |1.8251
28   |0.5772    |0.2454           |1.0000          |1.8226
7    |0.5771    |0.2454           |1.0000          |1.8225
16   |0.5738    |0.2454           |1.0000          |1.8193
2    |0.5687    |0.2454           |1.0000          |1.8141
43   |0.5676    |0.2454           |1.0000          |1.8130
40   |0.5671    |0.2454           |1.0000          |1.8125
31   |0.5582    |0.4939           |0.7546          |1.8066
12   |0.5603    |0.2454           |1.0000          |1.8057
29   |0.5579    |0.2454           |1.0000          |1.8034
10   |0.5517    |0.2454           |1.0000          |1.7971
51   |0.7907    |0.0000           |1.0000          |1.7907
4    |0.5436    |0.2454           |1.0000          |1.7890
8    |0.5410    |0.2454           |1.0000          |1.7864
36   |0.5406    |0.2454           |1.0000          |1.7860
20   |0.5377    |0.2454           |1.0000          |1.7831
5    |0.5351    |0.2454           |1.0000          |1.7805
13   |0.5348    |0.2454           |1.0000          |1.7802
9    |0.5347    |0.2454           |1.0000          |1.7801
1    |0.5337    |0.2454           |1.0000          |1.7791
19   |0.5320    |0.2454           |1.0000          |1.7774
3    |0.5282    |0.2454           |1.0000          |1.7736
18   |0.5070    |0.2454           |1.0000          |1.7525
27   |0.6309    |0.0000           |1.0000          |1.6309
22   |0.6032    |0.2454           |0.7546          |1.6032
24   |0.5950    |0.0000           |1.0000          |1.5950
6    |0.5711    |0.0000           |1.0000          |1.5711
14   |0.5644    |0.0000           |1.0000          |1.5644
32   |0.5624    |0.2454           |0.7546          |1.5624
26   |0.5565    |0.0000           |1.0000          |1.5565
35   |0.5348    |0.0000           |1.0000          |1.5348
15   |0.5185    |0.0000           |1.0000          |1.5185
33   |0.5098    |0.0000           |1.0000          |1.5098
21   |0.6051    |0.0000           |0.7546          |1.3596
