Judging
Time,Room 1,Room 2,Room 3,Room 4,Room 5,Room 6,Room 7,Room 8,Room 9
08:15,1,2,3,4,5,6,7,8,9
09:00,10,11,12,13,14,15,16,17,18
09:45,19,20,21,22,23,24,25,26,27
10:30,28,29,30,31,32,33,34,35,36
11:15,37,38,39,40,41,42,43,44,45
12:00,46,47,48,49,50,51,52,53,

Practice
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
09:00,19,20,21,22,23,24,25,26
09:11,27,28,29,30,31,32,33,34
09:22,35,36,1,2,3,4,5,6
09:33,7,8,9,37,38,39,40,41
09:44,42,43,44,45,46,47,48,28
09:55,29,30,31,32,33,34,35,36
10:06,10,11,12,13,14,15,16,17
10:17,18,49,50,51,52,53,,
10:28,37,38,4,5,6,7,8,9
10:39,46,39,40,41,42,43,44,45
10:50,1,2,3,47,48,49,50,51
11:01,20,21,22,23,24,25,26,27
11:12,19,10,11,12,13,14,15,16
11:23,17,18,52,53,,,,

Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,52,3,10,32,34,28,50,25
14:07,15,38,20,46,18,48,44,43
14:15,29,12,41,16,26,9,21,33
14:22,53,11,6,27,14,1,47,4
14:30,37,19,42,23,5,22,51,30
14:37,8,7,49,36,13,40,24,35
14:45,39,17,31,2,45,28,44,26
14:52,34,52,1,47,23,3,22,9
15:00,27,29,32,20,38,25,36,21
15:07,35,18,39,24,41,15,33,49
15:15,19,5,40,46,12,10,11,48
15:22,4,14,37,51,42,50,43,7
15:30,2,8,16,13,30,6,53,31
15:37,17,45,28,36,32,34,47,21
15:45,38,26,14,29,1,33,52,40
15:52,27,12,10,49,7,13,5,23
16:00,35,50,20,53,46,2,25,51
16:07,48,37,19,44,9,18,22,41
16:15,3,24,4,45,31,39,8,15
16:22,16,43,30,17,11,6,42,
