Table
Time,Table A1,Table A2,Table B1,Table B2,Table C1,Table C2,Table D1,Table D2
14:00,1,2,3,4,5,6,7,8
14:07,9,10,11,12,13,14,15,16
14:15,17,18,19,20,21,22,23,24
14:22,25,26,27,28,29,30,31,32
14:30,33,34,35,36,37,38,39,40
14:37,41,42,43,44,45,46,47,48
14:45,49,50,51,52,53,6,15,21
14:52,5,1,30,31,36,2,38,22
15:00,28,17,4,11,10,8,44,23
15:07,48,13,49,47,19,9,24,43
15:15,34,37,46,12,18,3,26,14
15:22,32,29,33,39,35,7,16,42
15:30,52,41,20,45,40,27,25,51
15:37,50,53,6,44,4,5,31,23
15:45,10,21,29,17,30,24,1,46
15:52,28,18,3,43,42,45,37,36
16:00,48,7,11,25,12,52,8,39
16:07,14,33,34,15,22,13,38,19
16:15,2,47,32,53,51,49,41,9
16:22,20,16,40,50,26,27,35,

